Data Report;;;;;
File created on:2020-08-18 15:54:00;;;;;
;;;;;
Device Information;;;;;
Device Model;RC-4HC;Logging Interval;300;Start Time;10/08/2020 11:02
Total Space;16000;Press Button ;Disable;Temperature Unit;°C
Storage Mode;N/A;Alarm Tone;Disable;;
Button Tone;Disable;Logging interval shortened in alarm;N/A;;
Trip Description;;;;;
Serial Number;V59;;;;
Trip Description;RC-4HC Data Logger;;;;
Alarm Settings;Alarm Status;;;;
H1:60,0°C;Normal;;;;
Ideal Zone;;;;;
L1:-30,0°C;Normal;;;;
Above:90,0%;Normal;;;;
Ideal Zone;;;;;
Below:20,0%;Normal;;;;
Summary;;;;;
Data Points;2363;;Mean Kinetic Temperature (MKT);13,4;
First Reading;10/08/2020 11:02;;Last Reading;18/08/2020 15:52;
Maximum(Temperature);19,4°C;;Minimum(Temperature);9,6°C;
Average(Temperature);13,2°C;;Recorded Period;8D 4H 50M 0S;
First Alarm(Temperature);N/A;;;;
Maximum(Humidity);57,10%;;Minimum(Humidity);42,10%;
Average(Humidity);51,00%;;;;
First Alarm(Humidity);N/A;;;;
;;;;;
338;11/08/2020 15:07;15,2;45,2;;
339;11/08/2020 15:12;15,2;44,7;;
340;11/08/2020 15:17;15,2;44,7;;
341;11/08/2020 15:22;15,3;44,2;;
342;11/08/2020 15:27;15,4;44,2;;
343;11/08/2020 15:32;15,5;43,2;;
344;11/08/2020 15:37;15,5;43,2;;
345;11/08/2020 15:42;15,5;43,2;;
346;11/08/2020 15:47;15,5;43,2;;
347;11/08/2020 15:52;15,6;42,7;;
348;11/08/2020 15:57;15,7;42,2;;
349;11/08/2020 16:02;15,7;42,2;;
350;11/08/2020 16:07;15,6;42,2;;
351;11/08/2020 16:12;15,6;41,7;;
352;11/08/2020 16:17;15,6;41,7;;
353;11/08/2020 16:22;15,6;41,7;;
354;11/08/2020 16:27;15,6;41,7;;
355;11/08/2020 16:32;15,6;41,7;;
356;11/08/2020 16:37;15,5;41,1;;
357;11/08/2020 16:42;15,5;41,1;;
358;11/08/2020 16:47;15,5;41,1;;
359;11/08/2020 16:52;15,5;41,1;;
360;11/08/2020 16:57;15,4;41,1;;
361;11/08/2020 17:02;15,4;40,6;;
362;11/08/2020 17:07;15,4;40,6;;
363;11/08/2020 17:12;15,4;40,6;;
364;11/08/2020 17:17;15,4;40,1;;
365;11/08/2020 17:22;15,5;40,1;;
366;11/08/2020 17:27;15,5;40,1;;
367;11/08/2020 17:32;15,5;40,6;;
368;11/08/2020 17:37;15,5;40,6;;
369;11/08/2020 17:42;15,6;40,1;;
370;11/08/2020 17:47;15,6;40,6;;
371;11/08/2020 17:52;15,6;41,2;;
372;11/08/2020 17:57;15,5;41,2;;
373;11/08/2020 18:02;15,6;41,2;;
374;11/08/2020 18:07;15,6;42,2;;
375;11/08/2020 18:12;15,6;42,2;;
376;11/08/2020 18:17;15,7;42,2;;
377;11/08/2020 18:22;15,7;42,7;;
378;11/08/2020 18:27;15,7;42,7;;
379;11/08/2020 18:32;15,7;43,2;;
380;11/08/2020 18:37;15,8;43,3;;
381;11/08/2020 18:42;15,9;43,3;;
382;11/08/2020 18:47;15,9;43,3;;
383;11/08/2020 18:52;15,9;43,3;;
384;11/08/2020 18:57;15,9;43,3;;
385;11/08/2020 19:02;16;42,8;;
386;11/08/2020 19:07;16;42,8;;
387;11/08/2020 19:12;16;42,8;;
388;11/08/2020 19:17;16;42,8;;
389;11/08/2020 19:22;16;42,8;;
390;11/08/2020 19:27;15,9;42,8;;
391;11/08/2020 19:32;15,7;42,7;;
392;11/08/2020 19:37;15,5;43,2;;
393;11/08/2020 19:42;15,4;43,2;;
394;11/08/2020 19:47;15,2;43,2;;
395;11/08/2020 19:52;15,1;43,2;;
396;11/08/2020 19:57;14,9;43,1;;
397;11/08/2020 20:02;14,8;43,6;;
398;11/08/2020 20:07;14,7;43,6;;
399;11/08/2020 20:12;14,6;44,1;;
400;11/08/2020 20:17;14,5;44,1;;
401;11/08/2020 20:22;14,5;44,1;;
402;11/08/2020 20:27;14,4;44,1;;
403;11/08/2020 20:32;14,3;44,1;;
404;11/08/2020 20:37;14,3;44,6;;
405;11/08/2020 20:42;14,2;44,6;;
