RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data LoggerV342;;
Number;7184200118;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2545;;
Temperature Maximum;24°C;;
Temperature Minimum;14,8°C;;
Temperature Average;17,9°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;63%RH;;
Humidity Minimum;43,3%RH;;
Humidity Average;55,1%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-25 15:42:01;;
End Time;2022-05-04 11:42:01;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
420;2022-04-27 02:37:01;17,4;61,2
421;2022-04-27 02:42:01;17,4;61,2
422;2022-04-27 02:47:01;17,4;61,2
423;2022-04-27 02:52:01;17,4;61,7
424;2022-04-27 02:57:01;17,4;61,7
425;2022-04-27 03:02:01;17,4;61,7
426;2022-04-27 03:07:01;17,4;61,7
427;2022-04-27 03:12:01;17,4;61,6
428;2022-04-27 03:17:01;17,4;61,6
429;2022-04-27 03:22:01;17,4;61,6
430;2022-04-27 03:27:01;17,4;61,6
431;2022-04-27 03:32:01;17,4;61,6
432;2022-04-27 03:37:01;17,4;61,6
433;2022-04-27 03:42:01;17,4;61,6
434;2022-04-27 03:47:01;17,3;61,6
435;2022-04-27 03:52:01;17,3;62,1
436;2022-04-27 03:57:01;17,3;61,6
437;2022-04-27 04:02:01;17,3;61,6
438;2022-04-27 04:07:01;17,3;62,1
439;2022-04-27 04:12:01;17,3;62,1
440;2022-04-27 04:17:01;17,3;62,1
441;2022-04-27 04:22:01;17,2;62,1
442;2022-04-27 04:27:01;17,2;62,1
443;2022-04-27 04:32:01;17,2;62,1
444;2022-04-27 04:37:01;17,2;62,1
445;2022-04-27 04:42:01;17,2;62,1
446;2022-04-27 04:47:01;17,2;62,1
447;2022-04-27 04:52:01;17,2;62,1
448;2022-04-27 04:57:01;17,2;62,1
449;2022-04-27 05:02:01;17,2;62,1
450;2022-04-27 05:07:01;17,2;62,1
451;2022-04-27 05:12:01;17,2;62,1
452;2022-04-27 05:17:01;17,2;62,1
453;2022-04-27 05:22:01;17,1;62,1
454;2022-04-27 05:27:01;17,1;62,1
455;2022-04-27 05:32:01;17,1;62,1
456;2022-04-27 05:37:01;17,1;62,1
457;2022-04-27 05:42:01;17,1;62,1
458;2022-04-27 05:47:01;17,1;62,1
459;2022-04-27 05:52:01;17,1;62,1
460;2022-04-27 05:57:01;17,1;62,1
461;2022-04-27 06:02:01;17,1;62,1
462;2022-04-27 06:07:01;17,1;62,1
