RC-4HC Temperature+Humidity Data Logger;;;;
User Information;RC-4HC Data Logger V556;;;
Number;719AH10153;;;
Interval    ;0:5:0 H:M:S;;;
Delay Time;0.0 H;;;
Data Sum;28/10/1905 0:00;;;
Temperature Maximum;28.5°C;;;
Temperature Minimum;19.3°C;;;
Temperature Average;22.9°C;;;
Temperature Alarm Upper Limit;60.0°C;;;
Temperature Alarm Lower Limit;-30.0°C;;;
Humidity Maximum;49.1%RH;;;
Humidity Minimum;33.4%RH;;;
Humidity Average;43.1%RH;;;
Humidity Alarm Upper Limit;90%RH;;;
Humidity Alarm Lower Limit;20%RH;;;
Start Time;03/03/2022 12:57;;;
End Time;10/03/2022 22:12;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;
Temperature Unit;°C;;;
Number;Time;Temperature°C;Humidity%RH;
396;04/03/2022 21:52;23.7;40.8;
397;04/03/2022 21:57;23.6;40.8;
398;04/03/2022 22:02;23.6;40.8;
399;04/03/2022 22:07;23.5;40.8;
400;04/03/2022 22:12;23.5;41.8;
401;04/03/2022 22:17;23.4;41.8;
402;04/03/2022 22:22;23.4;41.8;
403;04/03/2022 22:27;23.4;41.8;
404;04/03/2022 22:32;23.3;41.8;
405;04/03/2022 22:37;23.2;42.3;
406;04/03/2022 22:42;23.2;42.3;
407;04/03/2022 22:47;23.2;42.3;
408;04/03/2022 22:52;23.1;42.3;
409;04/03/2022 22:57;23.1;42.8;
410;04/03/2022 23:02;23.1;42.8;
411;04/03/2022 23:07;23;42.8;
412;04/03/2022 23:12;23;42.8;
413;04/03/2022 23:17;23;42.8;
414;04/03/2022 23:22;23;42.8;
415;04/03/2022 23:27;22.9;42.8;
416;04/03/2022 23:32;22.9;42.8;
417;04/03/2022 23:37;22.9;42.8;
418;04/03/2022 23:42;22.9;42.8;
419;04/03/2022 23:47;22.9;43.4;
420;04/03/2022 23:52;22.9;42.8;
421;04/03/2022 23:57;22.8;43.3;
422;05/03/2022 0:02;22.8;43.3;
423;05/03/2022 0:07;22.8;43.3;
424;05/03/2022 0:12;22.8;43.3;
425;05/03/2022 0:17;22.7;43.3;
426;05/03/2022 0:22;22.7;43.3;
427;05/03/2022 0:27;22.7;43.9;
428;05/03/2022 0:32;22.6;43.9;
429;05/03/2022 0:37;22.6;43.9;
430;05/03/2022 0:42;22.6;43.9;
431;05/03/2022 0:47;22.6;43.8;
432;05/03/2022 0:52;22.5;43.8;
433;05/03/2022 0:57;22.5;43.8;
434;05/03/2022 1:02;22.5;43.8;
435;05/03/2022 1:07;22.5;43.8;
436;05/03/2022 1:12;22.4;43.8;
437;05/03/2022 1:17;22.4;43.8;
438;05/03/2022 1:22;22.4;43.8;
439;05/03/2022 1:27;22.3;43.8;
440;05/03/2022 1:32;22.3;43.8;
441;05/03/2022 1:37;22.3;43.8;
442;05/03/2022 1:42;22.3;43.8;
443;05/03/2022 1:47;22.3;43.8;
444;05/03/2022 1:52;22.2;43.8;
445;05/03/2022 1:57;22.2;44.3;
446;05/03/2022 2:02;22.2;44.3;
447;05/03/2022 2:07;22.2;44.3;
448;05/03/2022 2:12;22.2;44.3;
449;05/03/2022 2:17;22.1;44.3;
450;05/03/2022 2:22;22.1;44.3;
451;05/03/2022 2:27;22.1;44.3;
452;05/03/2022 2:32;22.1;44.8;
453;05/03/2022 2:37;22;44.8;
454;05/03/2022 2:42;22;44.8;
455;05/03/2022 2:47;22;44.8;
456;05/03/2022 2:52;22;44.8;
457;05/03/2022 2:57;22;44.8;
458;05/03/2022 3:02;21.9;44.8;
459;05/03/2022 3:07;21.9;44.8;
460;05/03/2022 3:12;21.9;44.8;
461;05/03/2022 3:17;21.9;44.8;
462;05/03/2022 3:22;21.9;44.8;
463;05/03/2022 3:27;21.8;44.8;
464;05/03/2022 3:32;21.8;44.8;
465;05/03/2022 3:37;21.8;44.8;
466;05/03/2022 3:42;21.8;44.8;
467;05/03/2022 3:47;21.8;44.8;
468;05/03/2022 3:52;21.7;44.8;
469;05/03/2022 3:57;21.7;44.8;
470;05/03/2022 4:02;21.7;45.3;
471;05/03/2022 4:07;21.7;45.3;
472;05/03/2022 4:12;21.7;45.3;
473;05/03/2022 4:17;21.6;45.3;
474;05/03/2022 4:22;21.6;45.3;
475;05/03/2022 4:27;21.6;45.3;
476;05/03/2022 4:32;21.6;45.3;
477;05/03/2022 4:37;21.5;45.3;
