RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V456;;
Number;7186E00399;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;3427;;
Temperature Maximum;29°C;;
Temperature Minimum;7.5°C;;
Temperature Average;15.9°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;86.1%RH;;
Humidity Minimum;34.6%RH;;
Humidity Average;58.9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2020/09/09 13:00:00;;
End Time;2020/09/11 22:03:00;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
454;2020/09/09 20:33:00;-30,8;72.5
455;2020/09/09 20:34:00;-30,8;72.5
456;2020/09/09 20:35:00;-30,8;72.5
457;2020/09/09 20:36:00;-30,9;72.9
458;2020/09/09 20:37:00;-30,9;72.9
459;2020/09/09 20:38:00;-31;72.4
460;2020/09/09 20:39:00;-31;72.4
461;2020/09/09 20:40:00;-31;72.4
462;2020/09/09 20:41:00;-31;72.8
463;2020/09/09 20:42:00;-31;72.8
464;2020/09/09 20:43:00;-31;72.8
465;2020/09/09 20:44:00;-31,1;72.8
466;2020/09/09 20:45:00;-31,1;72.8
467;2020/09/09 20:46:00;-31,1;72.8
468;2020/09/09 20:47:00;-31,1;72.8
469;2020/09/09 20:48:00;-31,2;73.2
470;2020/09/09 20:49:00;-31,2;73.2
471;2020/09/09 20:50:00;-31,2;73.2
472;2020/09/09 20:51:00;-31,2;73.2
473;2020/09/09 20:52:00;-31,2;73.2
474;2020/09/09 20:53:00;-31,2;73.2
475;2020/09/09 20:54:00;-31,2;73.6
476;2020/09/09 20:55:00;-31,2;73.6
477;2020/09/09 20:56:00;-31,2;73.6
478;2020/09/09 20:57:00;-31,2;73.6
479;2020/09/09 20:58:00;-31,2;74
480;2020/09/09 20:59:00;-31,2;74
481;2020/09/09 21:00:00;-31,2;74
482;2020/09/09 21:01:00;-31,2;74
483;2020/09/09 21:02:00;-31,3;74
484;2020/09/09 21:03:00;-31,3;74
485;2020/09/09 21:04:00;-31,3;74
486;2020/09/09 21:05:00;-31,3;74
487;2020/09/09 21:06:00;-31,3;74
488;2020/09/09 21:07:00;-31,4;74
489;2020/09/09 21:08:00;-31,4;73.6
