RC-4HC Temperature+Humidity Data Logger;;;;
User Information;RC-4HC Data Logger V550;;;
Number;719AH10086;;;
Interval    ;0:5:0 H:M:S;;;
Delay Time;0,0 H;;;
Data Sum;2876;;;
Temperature Maximum;22,3°C;;;
Temperature Minimum;11,8°C;;;
Temperature Average;17,3°C;;;
Temperature Alarm Upper Limit;60,0°C;;;
Temperature Alarm Lower Limit;-30,0°C;;;
Humidity Maximum;66,4%RH;;;
Humidity Minimum;31,8%RH;;;
Humidity Average;54,9%RH;;;
Humidity Alarm Upper Limit;90%RH;;;
Humidity Alarm Lower Limit;20%RH;;;
Start Time;9/05/2022 11:22;;;
End Time;19/05/2022 11:01;;;
Date Format;yyyy-MM-dd HH:mm:ss;;;
Temperature Unit;°C;;;
Number;Time;Temperature°C;Humidity%RH;l
431;2022-05-10 23:12:53;17,3;56,4;
432;2022-05-10 23:17:53;17,3;56,9;
433;2022-05-10 23:22:53;17,3;56,9;
434;2022-05-10 23:27:53;17,3;56,9;
435;2022-05-10 23:32:53;17,3;56,8;
436;2022-05-10 23:37:53;17,3;56,8;
437;2022-05-10 23:42:53;17,3;56,8;
438;2022-05-10 23:47:53;17,2;57,3;
439;2022-05-10 23:52:53;17,2;56,8;
440;2022-05-10 23:57:53;17,2;56,8;
441;2022-05-11 00:02:53;17,2;57,3;
442;2022-05-11 00:07:53;17,2;57,3;
443;2022-05-11 00:12:53;17,1;57,3;
444;2022-05-11 00:17:53;17,1;57,3;
445;2022-05-11 00:22:53;17,1;57,3;
446;2022-05-11 00:27:53;17,1;57,3;
447;2022-05-11 00:32:53;17,1;57,3;
448;2022-05-11 00:37:53;17;57,3;
449;2022-05-11 00:42:53;17;57,3;
450;2022-05-11 00:47:53;17;57,3;
451;2022-05-11 00:52:53;17;57,3;
452;2022-05-11 00:57:53;16,9;57,3;
453;2022-05-11 01:02:53;16,9;57,3;
454;2022-05-11 01:07:53;16,9;57,3;
455;2022-05-11 01:12:53;16,8;57,3;
456;2022-05-11 01:17:53;16,8;57,3;
457;2022-05-11 01:22:53;16,8;57,3;
458;2022-05-11 01:27:53;16,7;57,3;
459;2022-05-11 01:32:53;16,7;57,7;
460;2022-05-11 01:37:53;16,7;57,7;
461;2022-05-11 01:42:53;16,7;57,7;
462;2022-05-11 01:47:53;16,6;57,7;
463;2022-05-11 01:52:53;16,6;57,7;
464;2022-05-11 01:57:53;16,6;57,7;
465;2022-05-11 02:02:53;16,6;57,7;
466;2022-05-11 02:07:53;16,6;57,7;
467;2022-05-11 02:12:53;16,6;57,7;
468;2022-05-11 02:17:53;16,6;58,2;
469;2022-05-11 02:22:53;16,6;58,2;
470;2022-05-11 02:27:53;16,6;58,2;
471;2022-05-11 02:32:53;16,6;58,2;
472;2022-05-11 02:37:53;16,6;58,2;
473;2022-05-11 02:42:53;16,5;58,2;
474;2022-05-11 02:47:53;16,5;58,2;
475;2022-05-11 02:52:53;16,5;58,2;
476;2022-05-11 02:57:53;16,5;58,2;
477;2022-05-11 03:02:53;16,5;58,2;
478;2022-05-11 03:07:53;16,5;58,2;
479;2022-05-11 03:12:53;16,4;58,2;
480;2022-05-11 03:17:53;16,4;58,2;
481;2022-05-11 03:22:53;16,4;58,2;
482;2022-05-11 03:27:53;16,4;58,6;
483;2022-05-11 03:32:53;16,4;58,6;
484;2022-05-11 03:37:53;16,3;58,6;
485;2022-05-11 03:42:53;16,3;58,6;
486;2022-05-11 03:47:53;16,3;58,6;
