RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V400;;
Number;7184200157;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2655;;
Temperature Maximum;22,7°C;;
Temperature Minimum;11,8°C;;
Temperature Average;16,3°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;69,1%RH;;
Humidity Minimum;48,7%RH;;
Humidity Average;60,9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-23 10:17:23;;
End Time;2022-05-02 15:27:23;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
385;2022-04-24 18:17:23;18,6;57,6
386;2022-04-24 18:22:23;18,5;58,1
387;2022-04-24 18:27:23;18,5;58
388;2022-04-24 18:32:23;18,5;58
389;2022-04-24 18:37:23;18,4;58
390;2022-04-24 18:42:23;18,4;58,5
391;2022-04-24 18:47:23;18,3;58,5
392;2022-04-24 18:52:23;18,3;58,5
393;2022-04-24 18:57:23;18,2;58,5
394;2022-04-24 19:02:23;18,2;59
395;2022-04-24 19:07:23;18,2;59
396;2022-04-24 19:12:23;18,1;59
397;2022-04-24 19:17:23;18,1;58,9
398;2022-04-24 19:22:23;18;59,4
399;2022-04-24 19:27:23;18;59,4
400;2022-04-24 19:32:23;18;59,4
401;2022-04-24 19:37:23;18;59,4
402;2022-04-24 19:42:23;18;59,4
403;2022-04-24 19:47:23;17,9;59,4
404;2022-04-24 19:52:23;17,9;59,4
405;2022-04-24 19:57:23;17,9;59,4
406;2022-04-24 20:02:23;17,8;59,9
407;2022-04-24 20:07:23;17,8;59,9
408;2022-04-24 20:12:23;17,8;59,8
409;2022-04-24 20:17:23;17,7;60,3
410;2022-04-24 20:22:23;17,7;59,8
411;2022-04-24 20:27:23;17,7;60,3
412;2022-04-24 20:32:23;17,7;60,3
413;2022-04-24 20:37:23;17,6;60,3
414;2022-04-24 20:42:23;17,6;60,3
415;2022-04-24 20:47:23;17,6;60,3
416;2022-04-24 20:52:23;17,6;60,3
417;2022-04-24 20:57:23;17,5;60,8
418;2022-04-24 21:02:23;17,5;60,8
419;2022-04-24 21:07:23;17,5;60,8
420;2022-04-24 21:12:23;17,5;60,8
421;2022-04-24 21:17:23;17,5;61,2
422;2022-04-24 21:22:23;17,4;61,2
423;2022-04-24 21:27:23;17,4;61,2
424;2022-04-24 21:32:23;17,4;61,7
425;2022-04-24 21:37:23;17,4;61,7
426;2022-04-24 21:42:23;17,4;62,1
427;2022-04-24 21:47:23;17,3;62,1
428;2022-04-24 21:52:23;17,3;62,1
429;2022-04-24 21:57:23;17,3;62,1
430;2022-04-24 22:02:23;17,3;62,6
431;2022-04-24 22:07:23;17,3;62,6
432;2022-04-24 22:12:23;17,3;62,6
433;2022-04-24 22:17:23;17,3;62,6
434;2022-04-24 22:22:23;17,3;62,6
435;2022-04-24 22:27:23;17,3;62,6
436;2022-04-24 22:32:23;17,3;62,6
437;2022-04-24 22:37:23;17,3;62,6
438;2022-04-24 22:42:23;17,3;62,6
439;2022-04-24 22:47:23;17,3;63,1
440;2022-04-24 22:52:23;17,2;63,1
441;2022-04-24 22:57:23;17,2;63,1
442;2022-04-24 23:02:23;17,2;63,1
443;2022-04-24 23:07:23;17,2;63,1
444;2022-04-24 23:12:23;17,2;63,1
445;2022-04-24 23:17:23;17,2;63
446;2022-04-24 23:22:23;17,2;63
447;2022-04-24 23:27:23;17,1;63
448;2022-04-24 23:32:23;17,1;63,5
449;2022-04-24 23:37:23;17,1;63,5
450;2022-04-24 23:42:23;17,1;63,5
451;2022-04-24 23:47:23;17,1;63,5
452;2022-04-24 23:52:23;17,1;63,5
453;2022-04-24 23:57:23;17,1;63,5
454;2022-04-25 00:02:23;17;63,5
455;2022-04-25 00:07:23;17;63,5
456;2022-04-25 00:12:23;17;63,5
457;2022-04-25 00:17:23;17;63,5
458;2022-04-25 00:22:23;17;63,5
459;2022-04-25 00:27:23;17;63,5
460;2022-04-25 00:32:23;16,9;63,9
461;2022-04-25 00:37:23;16,9;63,9
462;2022-04-25 00:42:23;16,9;63,9
463;2022-04-25 00:47:23;16,9;63,9
464;2022-04-25 00:52:23;16,8;63,9
465;2022-04-25 00:57:23;16,8;63,9
466;2022-04-25 01:02:23;16,8;63,9
467;2022-04-25 01:07:23;16,8;63,9
468;2022-04-25 01:12:23;16,8;63,9
469;2022-04-25 01:17:23;16,8;63,9
470;2022-04-25 01:22:23;16,7;63,9
471;2022-04-25 01:27:23;16,7;63,9
472;2022-04-25 01:32:23;16,7;63,9
473;2022-04-25 01:37:23;16,7;63,9
474;2022-04-25 01:42:23;16,7;63,9
475;2022-04-25 01:47:23;16,7;63,9
476;2022-04-25 01:52:23;16,7;63,9
477;2022-04-25 01:57:23;16,7;63,9
478;2022-04-25 02:02:23;16,6;64,3
479;2022-04-25 02:07:23;16,6;64,3
480;2022-04-25 02:12:23;16,6;64,3
481;2022-04-25 02:17:23;16,5;64,3
482;2022-04-25 02:22:23;16,5;64,3
483;2022-04-25 02:27:23;16,5;64,3
484;2022-04-25 02:32:23;16,5;64,3
485;2022-04-25 02:37:23;16,5;64,3
486;2022-04-25 02:42:23;16,5;64,8
487;2022-04-25 02:47:23;16,4;64,8
488;2022-04-25 02:52:23;16,4;64,8
489;2022-04-25 02:57:23;16,4;64,8
490;2022-04-25 03:02:23;16,4;64,8
491;2022-04-25 03:07:23;16,3;64,8
492;2022-04-25 03:12:23;16,3;64,8
493;2022-04-25 03:17:23;16,2;65,2
494;2022-04-25 03:22:23;16,2;65,2
495;2022-04-25 03:27:23;16,2;65,2
496;2022-04-25 03:32:23;16,2;65,2
497;2022-04-25 03:37:23;16,2;65,2
498;2022-04-25 03:42:23;16,2;65,2
499;2022-04-25 03:47:23;16,2;65,2
500;2022-04-25 03:52:23;16,2;65,2
501;2022-04-25 03:57:23;16,2;65,2
502;2022-04-25 04:02:23;16,2;65,2
503;2022-04-25 04:07:23;16,1;65,2
504;2022-04-25 04:12:23;16,1;65,2
505;2022-04-25 04:17:23;16,1;65,2
506;2022-04-25 04:22:23;16,1;65,2
507;2022-04-25 04:27:23;16,1;65,2
508;2022-04-25 04:32:23;16,1;65,2
509;2022-04-25 04:37:23;16,1;65,2
510;2022-04-25 04:42:23;16,1;65,2
511;2022-04-25 04:47:23;16;65,2
512;2022-04-25 04:52:23;16;65,2
513;2022-04-25 04:57:23;16;65,2
514;2022-04-25 05:02:23;15,9;65,6
